날짜,기관합계,기타법인,개인,외국인합계
2004-04-07 00:00:00,-336931265060 ,0 ,-162042596730 ,498973861790 
2004-04-08 00:00:00,-115084519355 ,0 ,-66584137085 ,181668656440 
2004-04-09 00:00:00,-211031135025 ,0 ,98409600425 ,112621534600 
2004-04-12 00:00:00,181018566005 ,0 ,-264023601835 ,83005035830 
2004-04-13 00:00:00,-160341323045 ,0 ,-91342073380 ,251683396425 
2004-04-14 00:00:00,60973070325 ,0 ,-20617479425 ,-40355590900 
2004-04-16 00:00:00,-1105810109820 ,0 ,441225467325 ,664584642495 
2004-04-19 00:00:00,-80266999895 ,0 ,77213039065 ,3053960830 
2004-04-20 00:00:00,117350621800 ,0 ,-57711979300 ,-59638642500 
2004-04-21 00:00:00,-97572953825 ,0 ,-226527002925 ,324099956750 
2004-04-22 00:00:00,-200880434850 ,0 ,76135127990 ,124745306860 
2004-04-23 00:00:00,124099458835 ,0 ,-162076028265 ,37976569430 
2004-04-26 00:00:00,-40544858580 ,0 ,32395301770 ,8149556810 
2004-04-27 00:00:00,202677720270 ,0 ,8636506280 ,-211314226550 
2004-04-28 00:00:00,27456699575 ,0 ,76878560695 ,-104335260270 
2004-04-29 00:00:00,579206576000 ,0 ,195555267940 ,-774761843940 
2004-04-30 00:00:00,422885538330 ,0 ,289527818780 ,-712413357110 
2004-05-03 00:00:00,192613960410 ,0 ,159340156810 ,-351954117220 
2004-05-04 00:00:00,-6402612380 ,0 ,162447777810 ,-156045165430 
2004-05-06 00:00:00,140400857920 ,0 ,39482560835 ,-179883418755 
2004-05-07 00:00:00,64556509455 ,0 ,-26589237925 ,-37967271530 
2004-05-10 00:00:00,-71854076650 ,0 ,103672423120 ,-31818346470 
2004-05-11 00:00:00,-3195512950 ,0 ,57678757520 ,-54483244570 
2004-05-12 00:00:00,-282212918580 ,0 ,46362030280 ,235850888300 
2004-05-13 00:00:00,-472158101840 ,0 ,355550581150 ,116607520690 
2004-05-14 00:00:00,-431681825190 ,0 ,434234619940 ,-2552794750 
2004-05-17 00:00:00,110379556945 ,0 ,-67867865045 ,-42511691900 
2004-05-18 00:00:00,-32763603055 ,0 ,-6689211255 ,39452814310 
2004-05-19 00:00:00,-62380702965 ,0 ,-108690842820 ,171071545785 
2004-05-20 00:00:00,-261394689360 ,0 ,-101152593550 ,362547282910 
2004-05-21 00:00:00,157711039525 ,0 ,-99775984020 ,-57935055505 
2004-05-24 00:00:00,-216982449230 ,0 ,-11023351060 ,228005800290 
2004-05-25 00:00:00,-171066546130 ,0 ,24902091380 ,146164454750 
2004-05-27 00:00:00,34387677305 ,0 ,-232255483255 ,197867805950 
2004-05-28 00:00:00,-53740392725 ,0 ,-195397081105 ,249137473830 
2004-05-31 00:00:00,-124479181075 ,0 ,101092441735 ,23386739340 
2004-06-01 00:00:00,44002839720 ,0 ,-151875380365 ,107872540645 
2004-06-02 00:00:00,-60885507380 ,0 ,151905774250 ,-91020266870 
2004-06-03 00:00:00,-178010662095 ,0 ,299069588295 ,-121058926200 
2004-06-04 00:00:00,-7752674910 ,0 ,110984121510 ,-103231446600 
2004-06-07 00:00:00,284899470770 ,0 ,-335560882645 ,50661411875 
2004-06-08 00:00:00,40374243185 ,0 ,-221736515215 ,181362272030 
2004-06-09 00:00:00,-58666521035 ,0 ,80569072755 ,-21902551720 
2004-06-10 00:00:00,47352004525 ,0 ,504023879525 ,-551375884050 
2004-06-11 00:00:00,-441542736550 ,0 ,544873036000 ,-103330299450 
2004-06-14 00:00:00,12180311600 ,0 ,-144748801050 ,132568489450 
2004-06-15 00:00:00,65206425720 ,0 ,-80976431600 ,15770005880 
2004-06-16 00:00:00,-23765227440 ,0 ,-99937948860 ,123703176300 
2004-06-17 00:00:00,-29009270975 ,0 ,-73687115100 ,102696386075 
2004-06-18 00:00:00,-192261339255 ,0 ,185893426855 ,6367912400 
