date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2018-04-26,689,575,114,3349,2660,87,"23,345","17,499","5,847","1,233",611,621
2018-04-25,836,1041,-205,3446,2610,-2284,"40,415","21,848","18,567","3,130",932,"2,198"
2018-04-24,523,444,79,1911,1388,-380,"40,231","41,282","-1,051","2,256","1,877",379
2018-04-23,486,450,36,1826,1340,-159,"18,419","28,369","-9,950","2,088","2,252",-164
2018-04-20,526,797,-271,2597,2071,-219,"36,640","27,646","8,994","2,013","2,780",-767
2018-04-19,366,949,-583,3186,2820,-3073,"13,867","20,800","-6,933",862,"2,603","-1,740"
2018-04-18,410,696,-286,1959,1548,-1194,"22,078","27,439","-5,361","1,983","1,281",703
2018-04-17,696,706,-11,1938,1243,620,"32,425","15,607","16,819",661,"2,535","-1,874"
2018-04-16,690,683,7,2840,2150,-2022,"39,160","28,258","10,902","1,677","2,440",-763
2018-04-13,537,501,36,3006,2469,-1157,"43,140","29,948","13,192","1,768","2,256",-488
2018-04-12,723,901,-179,1663,940,-911,"17,211","27,394","-10,183","2,231","1,299",932
2018-04-11,962,611,351,1239,277,-253,"18,527","9,125","9,402","1,151","1,830",-679
2018-04-10,456,421,36,824,368,1693,"25,318","33,400","-8,083","1,302","2,176",-874
2018-04-09,721,561,161,1930,1209,-1222,"28,425","21,596","6,830","1,111","2,535","-1,424"
2018-04-06,444,943,-498,2852,2409,105,"38,873","17,888","20,986","2,406","1,490",916
2018-04-05,506,503,3,5614,5108,-5016,"71,381","30,421","40,960","1,851",805,"1,046"
2018-04-04,1045,531,514,1286,241,1479,"39,575","25,785","13,790","2,476",455,"2,022"
2018-04-03,807,450,357,1839,1033,1406,"55,786","19,524","36,262","1,414","2,324",-909
2018-04-02,331,407,-76,3931,3601,-2973,"19,368","20,449","-1,081","1,896","1,795",101
2018-03-30,250,250,0,2160,1910,1542,"34,853","91,195","-56,342","3,535","1,384","2,151"
2018-03-29,407,311,96,1903,1496,769,"21,759","25,945","-4,185","2,085","3,054",-969
2018-03-28,1541,1063,478,5831,4290,-2998,"28,232","32,684","-4,453","3,032",958,"2,074"
2018-03-27,772,908,-137,3893,3121,-775,"23,069","31,317","-8,249","5,363","1,882","3,482"
2018-03-26,852,691,161,3133,2281,-2162,"13,462","30,869","-17,406","3,883","2,235","1,648"
2018-03-23,809,1688,-879,2470,1661,598,"25,295","30,912","-5,617","2,396","1,420",975
2018-03-22,1416,799,617,799,-617,399,"22,476","24,180","-1,704",832,"1,836","-1,004"
2018-03-21,776,452,324,2849,2073,-1140,"11,412","21,133","-9,721","2,682","1,269","1,413"
2018-03-20,406,963,-557,2237,1831,-1058,"17,342","17,258",84,"2,289","1,357",931
2018-03-19,656,784,-128,3705,3049,-1594,"17,815","28,031","-10,216","1,157","3,360","-2,203"
2018-03-16,709,1163,-454,4822,4113,-2327,"34,939","20,577","14,362","4,009","1,399","2,609"
2018-03-15,511,641,-130,2517,2006,-846,"15,272","24,874","-9,602","1,950","2,101",-151
2018-03-14,409,729,-320,1817,1409,1306,"21,998","15,153","6,845",958,"2,152","-1,194"
2018-03-13,645,652,-7,1614,969,1632,"21,413","18,723","2,691","1,463","2,894","-1,431"
2018-03-12,919,348,571,1769,850,-46,"21,286","46,798","-25,512","1,584","2,694","-1,110"
2018-03-09,1307,1044,263,3566,2258,-1420,"20,626","39,176","-18,550","1,997","3,170","-1,174"
2018-03-08,346,350,-3,3903,3557,-2905,"25,290","24,231","1,059",969,"3,219","-2,250"
2018-03-07,305,316,-11,4553,4249,-3348,"19,364","14,814","4,550","2,042",977,"1,064"
2018-03-06,470,544,-74,4636,4166,-3119,"31,997","18,024","13,973","2,435","1,115","1,320"
2018-03-05,565,368,197,2193,1628,469,"34,969","12,438","22,530","3,818","1,543","2,275"
2018-03-02,566,424,143,2607,2042,-2047,"16,971","20,411","-3,441",837,"1,858","-1,021"
2018-02-28,826,487,339,1298,473,1934,"34,670","60,595","-25,925","2,556","1,400","1,156"
2018-02-27,1024,636,388,2860,1836,-556,"14,605","20,431","-5,827","1,426","2,887","-1,461"
2018-02-26,1623,1974,-351,4005,2382,-1473,"21,378","17,228","4,150","2,381","1,152","1,230"
2018-02-23,975,699,276,3272,2297,-1668,"17,525","24,196","-6,671","2,532","2,979",-447
2018-02-22,646,337,309,2166,1520,-573,"16,721","22,735","-6,014","2,615","1,243","1,372"
2018-02-21,684,490,193,2741,2057,360,"23,880","20,753","3,127","1,313","2,809","-1,496"
2018-02-20,761,291,471,3057,2296,-1362,"34,262","19,929","14,333",935,"2,456","-1,521"
2018-02-19,920,248,672,3593,2673,-497,"13,389","30,308","-16,919","2,071",927,"1,143"
2018-02-14,542,592,-50,5464,4921,-2465,"21,247","34,384","-13,137","1,335","2,696","-1,361"
2018-02-13,857,1722,-865,5901,5044,-4801,"27,578","25,465","2,112","3,332","1,236","2,096"
2018-02-12,1251,529,722,3837,2587,1309,"24,811","54,950","-30,139","3,186","1,479","1,706"
2018-02-09,1799,445,1354,468,-1331,939,"18,943","34,111","-15,168","3,077",543,"2,534"
2018-02-08,2714,629,2084,9356,6642,-2796,"16,638","22,693","-6,055","3,593","2,211","1,382"
2018-02-07,2043,842,1201,4009,1966,-1026,"16,141","16,380",-238,"4,480","1,395","3,085"
2018-02-06,2294,1566,728,7138,4843,-4829,"23,905","17,911","5,993","3,982","1,177","2,805"
2018-02-05,2564,1045,1519,2207,-357,1933,"25,079","19,637","5,442","5,676",643,"5,033"
2018-02-02,1869,1055,814,1705,-164,4226,"35,143","10,159","24,984","1,665","2,143",-478
2018-02-01,1566,2729,-1162,6602,5036,-2869,"30,221","16,746","13,474","1,780","2,662",-882
2018-01-31,2187,1893,293,2664,477,523,"31,134","40,658","-9,525","1,633","3,955","-2,322"
2018-01-30,3195,2251,944,3286,91,-281,"63,399","21,578","41,821","1,138","4,861","-3,723"
2018-01-29,4592,2556,2035,5278,686,123,"28,575","23,043","5,532","1,944","3,148","-1,204"
2018-01-26,1497,1484,14,3043,1546,405,"25,024","20,918","4,105","2,786","3,296",-510
2018-01-25,1290,2128,-837,6796,5507,-4991,"38,270","20,312","17,958","1,033","3,266","-2,233"
2018-01-24,2031,2019,11,4763,2732,-509,"21,881","16,740","5,141","3,032","1,466","1,566"
2018-01-23,1295,708,587,1991,697,2738,"26,971","21,477","5,495","2,753","1,657","1,096"
2018-01-22,2769,1139,1630,5800,3031,-1147,"14,352","35,047","-20,695","2,477","3,447",-970
2018-01-19,2287,1224,1063,2903,616,1181,"22,445","19,447","2,999","4,601","2,278","2,323"
2018-01-18,1244,1013,230,3254,2010,-347,"18,888","28,089","-9,201","1,980","2,284",-303
2018-01-17,1221,1386,-165,2775,1555,-336,"18,236","13,503","4,733","2,451","1,604",847
2018-01-16,1853,2101,-248,4771,2918,-1784,"34,336","12,904","21,432","1,183","3,254","-2,071"
2018-01-15,1907,1328,579,3201,1294,-1011,"21,943","17,752","4,190","2,232","2,825",-593
2018-01-12,1588,801,786,2571,983,678,"23,618","25,746","-2,127","2,826","1,927",899
2018-01-11,1006,888,117,3628,2621,-2262,"16,936","18,132","-1,196",927,"3,781","-2,854"
2018-01-10,972,1221,-249,5202,4231,-3629,"10,691","19,144","-8,453","2,503","2,441",62
2018-01-09,679,1331,-652,4846,4167,-4366,"25,733","13,681","12,052","1,124","3,866","-2,743"
2018-01-08,1080,957,123,4754,3674,175,"29,465","9,237","20,228","3,320","1,442","1,878"
2018-01-05,1018,793,225,5971,4954,-4143,"21,359","15,305","6,054","1,376","2,243",-867
2018-01-04,1004,976,28,1790,787,2565,"70,078","11,781","58,297","1,676","1,257",418
2018-01-03,994,965,29,2872,1878,-895,"77,393","13,790","63,603",486,"1,826","-1,340"
2018-01-02,482,1396,-914,4219,3737,4867,"41,955","28,877","13,078","1,356","2,807","-1,451"
2017-12-29,390,0,390,0,-390,390,"41,675","82,981","-41,305",568,"1,097",-529
2017-12-28,1018,509,509,509,-509,0,"36,912","45,549","-8,637","2,025","3,819","-1,794"
2017-12-27,1119,469,649,8427,7308,-636,"25,617","47,402","-21,785","1,320",968,352
2017-12-26,574,467,107,3797,3223,84,"19,279","27,132","-7,853","3,463","1,652","1,811"
2017-12-22,560,449,111,3596,3036,2445,"12,360","37,780","-25,421","2,762","3,836","-1,075"
2017-12-21,518,757,-239,1516,997,1847,"14,147","36,224","-22,077","2,113","1,188",925
2017-12-20,733,623,110,2374,1641,-20,"13,105","33,914","-20,809","1,331","2,136",-805
2017-12-19,792,379,412,975,183,3486,"12,540","13,129",-589,"1,867","1,564",303
2017-12-18,398,373,25,1810,1413,5082,"14,774","18,960","-4,185",670,"1,383",-712
2017-12-15,459,1064,-605,1726,1266,1405,"29,288","27,386","1,902","1,572","1,961",-388
2017-12-14,378,364,14,1772,1394,975,"16,623","37,629","-21,006","1,013",578,434
2017-12-13,876,448,429,4911,4035,186,"18,574","14,349","4,225",631,"1,031",-400
2017-12-12,679,338,341,2608,1929,1280,"22,342","19,592","2,750",635,"2,179","-1,544"
2017-12-11,562,316,246,2971,2409,1930,"17,833","29,140","-11,308","1,490",648,842
2017-12-08,759,358,401,2378,1619,4353,"18,914","46,242","-27,328","2,806","1,842",964
2017-12-07,436,576,-140,4514,4078,-1623,"14,235","21,941","-7,706",861,"1,562",-700
2017-12-06,582,540,42,2394,1812,721,"16,377","10,189","6,189","1,654",740,914
2017-12-05,462,582,-119,3463,3001,-825,"45,365","22,663","22,702","2,184","2,327",-143
2017-12-04,481,498,-17,3715,3234,-1286,"26,590","21,989","4,601","1,800","1,995",-195
2017-12-01,860,393,467,3402,2542,-241,"27,239","20,664","6,575","2,681","1,187","1,494"
2017-11-30,1267,399,868,2621,1354,3845,"26,765","58,927","-32,162","1,432","2,273",-842
2017-11-29,1071,591,481,3492,2421,-722,"17,400","27,308","-9,908","2,124","1,289",834
2017-11-28,1503,729,774,1165,-338,1878,"21,876","29,538","-7,662","3,225",935,"2,289"
2017-11-27,835,1207,-372,3941,3106,-2423,"14,636","13,205","1,432","2,067","1,933",134
2017-11-24,1237,776,461,4531,3293,-169,"10,506","17,085","-6,579","2,707","2,431",276
2017-11-23,931,1767,-836,3949,3018,-1492,"10,404","24,799","-14,395","2,200","2,976",-776
2017-11-22,2438,1079,1359,4894,2456,478,"26,163","23,162","3,001","2,226","3,229","-1,002"
2017-11-21,1525,818,707,5482,3956,-2873,"21,898","15,623","6,276","1,073","2,520","-1,447"
2017-11-20,1935,1550,385,3835,1900,-312,"12,681","16,301","-3,621","3,112","2,876",236
2017-11-17,618,937,-319,3703,3085,507,"22,546","28,383","-5,838","2,427","3,271",-843
2017-11-16,1818,2064,-246,3068,1250,656,"32,360","26,527","5,833","3,412","1,595","1,816"
2017-11-15,756,794,-38,1723,968,136,"17,149","17,879",-730,"2,185","2,865",-680
2017-11-14,731,803,-72,2992,2261,-1417,"18,020","12,550","5,470","2,326","2,407",-81
2017-11-13,962,1001,-39,2914,1952,1822,"14,294","16,649","-2,355","2,815","1,548","1,268"
