,기간자금설정,기간자금해지,증감
2019-11-04,"53,604","23,003","30,602"
2019-11-01,"38,162","29,078","9,084"
2019-10-31,"38,340","84,158","-45,818"
2019-10-30,"30,626","30,374",253
2019-10-29,"28,915","24,355","4,560"
2019-10-28,"20,421","27,780","-7,359"
2019-10-25,"26,697","41,402","-14,705"
2019-10-24,"24,098","40,710","-16,612"
2019-10-23,"27,855","28,068",-213
2019-10-22,"31,622","33,377","-1,755"
2019-10-21,"24,193","30,467","-6,274"
2019-10-18,"30,471","31,541","-1,070"
2019-10-17,"45,967","21,629","24,338"
2019-10-16,"59,351","26,897","32,454"
2019-10-15,"36,506","28,858","7,648"
2019-10-14,"29,091","34,082","-4,991"
2019-10-11,"41,918","28,796","13,122"
2019-10-10,"26,293","34,206","-7,913"
2019-10-08,"33,977","19,683","14,294"
2019-10-07,"50,211","19,727","30,483"
2019-10-04,"59,801","31,450","28,351"
2019-10-02,"106,127","36,362","69,765"
2019-10-01,"45,874","46,411",-537
2019-09-30,"60,583","125,263","-64,679"
2019-09-27,"52,767","62,008","-9,241"
2019-09-26,"26,291","62,265","-35,974"
2019-09-25,"28,733","32,828","-4,095"
2019-09-24,"34,119","55,029","-20,910"
2019-09-23,"21,008","35,770","-14,763"
2019-09-20,"20,847","41,113","-20,266"
2019-09-19,"27,136","33,753","-6,617"
2019-09-18,"40,892","30,357","10,535"
2019-09-17,"44,294","23,759","20,534"
2019-09-16,"33,165","20,784","12,381"
2019-09-11,"32,735","31,780",955
2019-09-10,"21,575","46,448","-24,873"
2019-09-09,"32,211","38,400","-6,189"
2019-09-06,"28,592","30,032","-1,440"
2019-09-05,"32,260","27,392","4,869"
2019-09-04,"26,848","19,752","7,096"
2019-09-03,"73,531","24,780","48,751"
2019-09-02,"22,308","24,140","-1,832"
2019-08-30,"41,025","97,761","-56,736"
2019-08-29,"22,933","37,042","-14,109"
2019-08-28,"29,684","37,826","-8,142"
2019-08-27,"34,408","26,565","7,844"
2019-08-26,"20,371","36,509","-16,137"
2019-08-23,"20,066","40,694","-20,628"
2019-08-22,"28,439","37,823","-9,385"
2019-08-21,"43,906","43,258",648
2019-08-20,"24,864","27,682","-2,818"
2019-08-19,"44,990","28,335","16,655"
2019-08-16,"33,777","26,935","6,841"
2019-08-14,"41,376","32,362","9,013"
2019-08-13,"40,411","24,063","16,348"
2019-08-12,"32,538","33,134",-596
2019-08-09,"44,091","32,330","11,762"
2019-08-08,"29,083","40,423","-11,340"
2019-08-07,"29,567","22,474","7,094"
2019-08-06,"26,058","31,168","-5,110"
2019-08-05,"25,800","20,768","5,032"
2019-08-02,"80,826","18,606","62,220"
2019-08-01,"26,293","21,400","4,893"
2019-07-31,"29,225","96,821","-67,596"
2019-07-30,"30,269","41,389","-11,120"
2019-07-29,"34,674","24,306","10,368"
2019-07-26,"32,298","26,279","6,019"
2019-07-25,"27,897","31,973","-4,076"
2019-07-24,"33,824","34,193",-369
2019-07-23,"32,822","28,298","4,524"
2019-07-22,"32,926","25,584","7,341"
2019-07-19,"33,525","26,850","6,675"
2019-07-18,"22,354","27,782","-5,428"
2019-07-17,"17,702","23,094","-5,392"
2019-07-16,"42,996","19,876","23,120"
2019-07-15,"24,872","20,879","3,993"
2019-07-12,"23,676","17,082","6,594"
2019-07-11,"27,601","21,984","5,617"
2019-07-10,"19,514","24,686","-5,172"
2019-07-09,"40,544","23,761","16,783"
2019-07-08,"28,507","20,326","8,181"
2019-07-05,"34,196","16,762","17,434"
2019-07-04,"38,245","17,988","20,257"
2019-07-03,"36,791","26,917","9,874"
2019-07-02,"114,115","39,888","74,227"
2019-07-01,"33,795","29,127","4,668"
2019-06-28,"58,979","132,214","-73,234"
2019-06-27,"60,255","43,068","17,187"
